"Ticker","Nome","Negócios","Última (R$)","Variação"
"LUXM4","Trevisa","1.300","3,08","+0,33%"
"OIBR4","Oi","1.200","0,99","+0,00%"
"BALM4","Baumer","1.100","17,00","-2,58%"
"IGTI4","Jereissati Participações","1.100","10,05","-5,99%"
"IGTI4","Iguatemi","1.100","10,05","-5,99%"
"DEXP4","Dexxos","1.100","7,00","+0,86%"
"FHER3","Fertilizantes Heringer","1.100","3,99","+1,27%"
"INEP4","Inepar","1.100","1,97","+1,55%"
"EUCA3","Eucatex","1.000","24,60","-1,40%"
"CGAS5","Comgás","900","122,51","-0,04%"
"CTKA4","Karsten","900","31,85","+0,00%"
"CBEE3","Ampla Energia","900","10,35","+1,97%"
"EQPA7","Equatorial Energia Pará","900","10,04","+0,40%"
"RPAD5","Alfa Holdings","900","7,00","+0,00%"
"ARND3","Arandu","900","0,67","-4,29%"
"JFEN3","João Fortes","900","0,61","-4,69%"
"FESA3","Ferbasa","800","11,00","-0,81%"
"BNBR3","Banco do Nordeste","700","106,01","+0,58%"
"BGIP4","Banese","700","32,10","-1,53%"
"NEXP3","Brasil Brokers","700","2,41","-2,03%"
"AFLT3","Afluente T","600","7,75","+0,00%"
"RPAD3","Alfa Holdings","600","6,50","-5,93%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","600","1,90","-2,56%"
"MTSA4","Metisa","500","44,29","-0,45%"
"BDLL4","Bardella","500","3,55","+0,00%"
"WHRL3","Whirlpool","400","3,93","-0,76%"
"ESTR4","Estrela","400","3,11","-22,06%"
"EKTR4","Elektro","300","38,96","+0,15%"
"CRPG5","Tronox Pigmentos","300","14,80","-1,33%"
"SOND5","Sondotécnica","200","80,00","+0,96%"
"MNDL3","Mundial","200","18,20","+1,68%"
"EALT3","Electro Aço Altona","200","12,95","+0,00%"
"REDE3","Rede Energia","200","6,02","+0,67%"
"CLSC3","Celesc","100","129,02","-0,75%"
"CEEB3","COELBA","100","45,11","+0,13%"
"MRSA3B","MRS Logística","100","39,23","-1,58%"
"GEPA4","Rio Paranapanema Energia","100","35,99","+0,00%"
"HBTS5","Habitasul","100","32,38","+0,00%"
"ALPA3","Alpargatas","100","10,25","+0,00%"
"TELB3","Telebras","100","10,00","-0,99%"
"BDLL3","Bardella","100","7,00","+6,06%"
"RVEE3","REVEE","100","0,97","+3,19%"
"RVEE3","REVEE S.A.","100","0,97","+3,19%"
"BMKS3","Monark","3","385,20","+1,34%"
"BPAC11","Banco BTG Pactual","9.634.100","52,21","+3,10%"
"CEDO4","Cedro Têxtil","10.000","5,49","+4,97%"
